O*NET-SOC Code,Title,Element ID,Element Name,Scale ID,Scale Name,Category,Data Value,N,Standard Error,Lower CI Bound,Upper CI Bound,Recommend Suppress,Not Relevant,Date,Domain Source
11-2011.00,Advertising and Promotions Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,21.99,26,8.0127,9.7214,42.4493,N,,08/2018,Incumbent
11-2011.00,Advertising and Promotions Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,62.85,26,10.1533,40.8595,80.5563,N,,08/2018,Incumbent
11-2021.00,Marketing Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.78,40,0.0930,2.5952,2.9716,N,,07/2015,Incumbent
11-2021.00,Marketing Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,2.24,40,2.2600,0.2838,15.5888,N,,07/2015,Incumbent
11-2021.00,Marketing Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,17.17,40,8.1510,6.1089,39.7883,N,,07/2015,Incumbent
11-2021.00,Marketing Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,80.58,40,8.4494,58.1979,92.5226,N,,07/2015,Incumbent
11-2022.00,Sales Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.86,21,,,,,,08/2025,Occupational Expert
11-2022.00,Sales Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,21,,,,,,08/2025,Occupational Expert
11-2022.00,Sales Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,14.29,21,,,,,,08/2025,Occupational Expert
11-2022.00,Sales Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,85.71,21,,,,,,08/2025,Occupational Expert
11-2033.00,Fundraising Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.65,16,0.1872,2.2495,3.0000,N,,08/2025,Incumbent
11-2033.00,Fundraising Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,16,0.0000,,,N,,08/2025,Incumbent
11-2033.00,Fundraising Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,35.14,16,18.7226,8.5999,75.7331,Y,,08/2025,Incumbent
11-2033.00,Fundraising Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,64.86,16,18.7226,24.2669,91.4001,Y,,08/2025,Incumbent
11-3012.00,Administrative Services Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.23,45,0.1323,1.9584,2.4916,N,,07/2017,Incumbent
11-3012.00,Administrative Services Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,16.87,45,7.0968,6.8203,36.0087,N,,07/2017,Incumbent
11-3012.00,Administrative Services Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,43.76,45,9.0029,27.1257,61.9226,N,,07/2017,Incumbent
11-3012.00,Administrative Services Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,39.37,45,8.8136,23.5796,57.7472,N,,07/2017,Incumbent
11-3013.00,Facilities Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.43,34,0.1475,2.1254,2.7254,N,,08/2024,Incumbent
11-3013.00,Facilities Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,5.46,34,4.9995,0.7978,29.3017,N,,08/2024,Incumbent
11-3013.00,Facilities Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,46.55,34,13.9399,21.7845,73.1352,N,,08/2024,Incumbent
11-3013.00,Facilities Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,48.00,34,13.4500,23.5677,73.4218,N,,08/2024,Incumbent
11-3013.01,Security Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.75,20,,,,,,08/2025,Occupational Expert
11-3013.01,Security Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,20,,,,,,08/2025,Occupational Expert
11-3013.01,Security Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,25.00,20,,,,,,08/2025,Occupational Expert
11-3013.01,Security Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,75.00,20,,,,,,08/2025,Occupational Expert
11-3021.00,Computer and Information Systems Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.63,21,0.1789,2.2591,3.0000,N,,07/2016,Incumbent
11-3021.00,Computer and Information Systems Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,1.82,21,1.4004,0.3620,8.6721,N,,07/2016,Incumbent
11-3021.00,Computer and Information Systems Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,33.12,21,18.1461,8.2306,73.2262,N,,07/2016,Incumbent
11-3021.00,Computer and Information Systems Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,65.05,21,17.9654,26.3662,90.6348,N,,07/2016,Incumbent
11-3031.00,Financial Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.73,22,0.1459,2.4251,3.0000,N,,08/2022,Incumbent
11-3031.00,Financial Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,22,0.0000,,,N,,08/2022,Incumbent
11-3031.00,Financial Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,27.14,22,14.5946,7.4316,63.3530,N,,08/2022,Incumbent
11-3031.00,Financial Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,72.86,22,14.5946,36.6470,92.5684,N,,08/2022,Incumbent
11-3031.01,Treasurers and Controllers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.80,25,,,,,,08/2020,Occupational Expert
11-3031.01,Treasurers and Controllers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,25,,,,,,08/2020,Occupational Expert
11-3031.01,Treasurers and Controllers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,20.00,25,,,,,,08/2020,Occupational Expert
11-3031.01,Treasurers and Controllers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,80.00,25,,,,,,08/2020,Occupational Expert
11-3031.03,Investment Fund Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.87,29,0.0744,2.7151,3.0000,N,,07/2014,Incumbent
11-3031.03,Investment Fund Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,29,0.0000,,,N,,07/2014,Incumbent
11-3031.03,Investment Fund Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,13.25,29,7.4378,3.8996,36.5041,N,,07/2014,Incumbent
11-3031.03,Investment Fund Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,86.75,29,7.4378,63.4959,96.1004,N,,07/2014,Incumbent
11-3051.00,Industrial Production Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.70,45,0.1122,2.4765,2.9287,N,,08/2021,Incumbent
11-3051.00,Industrial Production Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,3.23,45,3.2402,0.4116,21.2358,N,,08/2021,Incumbent
11-3051.00,Industrial Production Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,23.28,45,9.6154,9.2997,47.3135,N,,08/2021,Incumbent
11-3051.00,Industrial Production Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,73.49,45,9.9322,49.8042,88.5650,N,,08/2021,Incumbent
11-3051.01,Quality Control Systems Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.95,21,0.0441,2.8591,3.0000,N,,08/2022,Incumbent
11-3051.01,Quality Control Systems Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,21,0.0000,,,N,,08/2022,Incumbent
11-3051.01,Quality Control Systems Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,4.90,21,4.4067,0.7120,27.0274,N,,08/2022,Incumbent
11-3051.01,Quality Control Systems Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,95.10,21,4.4067,72.9726,99.2880,N,,08/2022,Incumbent
11-3051.02,Geothermal Production Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.90,17,0.0642,2.7673,3.0000,N,,07/2011,Incumbent
11-3051.02,Geothermal Production Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,17,0.0000,,,N,,07/2011,Incumbent
11-3051.02,Geothermal Production Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,9.66,17,6.4191,2.2010,33.7070,N,,07/2011,Incumbent
11-3051.02,Geothermal Production Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,90.34,17,6.4191,66.2930,97.7990,N,,07/2011,Incumbent
11-3051.03,Biofuels Production Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.76,20,0.1009,2.5538,2.9760,N,,07/2016,Incumbent
11-3051.03,Biofuels Production Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,20,0.0000,,,N,,07/2016,Incumbent
11-3051.03,Biofuels Production Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,23.51,20,10.0851,8.6786,49.8519,N,,07/2016,Incumbent
11-3051.03,Biofuels Production Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,76.49,20,10.0851,50.1481,91.3214,N,,07/2016,Incumbent
11-3051.04,Biomass Power Plant Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.92,21,0.0824,2.7435,3.0000,N,,08/2020,Incumbent
11-3051.04,Biomass Power Plant Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,21,0.0000,,,N,,08/2020,Incumbent
11-3051.04,Biomass Power Plant Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,8.47,21,8.2372,0.9978,45.9209,N,,08/2020,Incumbent
11-3051.04,Biomass Power Plant Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,91.53,21,8.2372,54.0791,99.0022,N,,08/2020,Incumbent
11-3051.06,Hydroelectric Production Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.65,28,0.0918,2.4593,2.8359,N,,07/2016,Incumbent
11-3051.06,Hydroelectric Production Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,28,0.0000,,,N,,07/2016,Incumbent
11-3051.06,Hydroelectric Production Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,35.24,28,9.1781,19.2504,55.3938,N,,07/2016,Incumbent
11-3051.06,Hydroelectric Production Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,64.76,28,9.1781,44.6062,80.7496,N,,07/2016,Incumbent
11-3061.00,Purchasing Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.42,19,,,,,,08/2023,Occupational Expert
11-3061.00,Purchasing Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,5.26,19,,,,,,08/2023,Occupational Expert
11-3061.00,Purchasing Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,47.37,19,,,,,,08/2023,Occupational Expert
11-3061.00,Purchasing Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,47.37,19,,,,,,08/2023,Occupational Expert
11-3071.00,"Transportation, Storage, and Distribution Managers",4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.75,,,,,N,,11/2020,Analyst - Transition
11-3071.04,Supply Chain Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.85,20,,,,,,07/2017,Occupational Expert
11-3071.04,Supply Chain Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,20,,,,,,07/2017,Occupational Expert
11-3071.04,Supply Chain Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,15.00,20,,,,,,07/2017,Occupational Expert
11-3071.04,Supply Chain Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,85.00,20,,,,,,07/2017,Occupational Expert
11-3111.00,Compensation and Benefits Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.67,21,,,,,,08/2023,Occupational Expert
11-3111.00,Compensation and Benefits Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,21,,,,,,08/2023,Occupational Expert
11-3111.00,Compensation and Benefits Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,33.33,21,,,,,,08/2023,Occupational Expert
11-3111.00,Compensation and Benefits Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,66.67,21,,,,,,08/2023,Occupational Expert
11-3121.00,Human Resources Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.59,22,,,,,,08/2025,Occupational Expert
11-3121.00,Human Resources Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,9.09,22,,,,,,08/2025,Occupational Expert
11-3121.00,Human Resources Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,22.73,22,,,,,,08/2025,Occupational Expert
11-3121.00,Human Resources Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,68.18,22,,,,,,08/2025,Occupational Expert
11-3131.00,Training and Development Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.50,28,,,,,,08/2024,Occupational Expert
11-3131.00,Training and Development Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,28,,,,,,08/2024,Occupational Expert
11-3131.00,Training and Development Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,50.00,28,,,,,,08/2024,Occupational Expert
11-3131.00,Training and Development Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,50.00,28,,,,,,08/2024,Occupational Expert
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.67,,,,,N,,11/2020,Analyst - Transition
11-9021.00,Construction Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.74,19,,,,,,08/2025,Occupational Expert
11-9021.00,Construction Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,19,,,,,,08/2025,Occupational Expert
11-9021.00,Construction Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,26.32,19,,,,,,08/2025,Occupational Expert
11-9021.00,Construction Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,73.68,19,,,,,,08/2025,Occupational Expert
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.66,32,0.1727,2.3070,3.0000,N,,08/2018,Incumbent
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,11.16,32,7.8265,2.4468,38.5943,N,,08/2018,Incumbent
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,11.77,32,6.8144,3.3806,33.7137,N,,08/2018,Incumbent
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,77.08,32,10.5386,49.9032,91.9011,N,,08/2018,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.88,23,0.0612,2.7567,3.0000,N,,08/2025,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.39,23,0.4030,0.0458,3.2487,N,,08/2025,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,10.86,23,6.0204,3.2424,30.6750,N,,08/2025,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,88.75,23,6.0578,69.1509,96.5262,N,,08/2025,Incumbent
11-9033.00,"Education Administrators, Postsecondary",4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.64,42,0.1773,2.2856,3.0000,N,,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,12.45,42,8.9164,2.6511,42.5953,N,,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,10.75,42,4.0662,4.8660,22.0846,N,,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,76.81,42,9.2687,53.6601,90.4499,N,,08/2018,Incumbent
11-9041.00,Architectural and Engineering Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.84,20,0.1077,2.6164,3.0000,N,,08/2020,Incumbent
11-9041.00,Architectural and Engineering Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,20,0.0000,,,N,,08/2020,Incumbent
11-9041.00,Architectural and Engineering Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,15.82,20,10.7650,3.3478,50.5040,N,,08/2020,Incumbent
11-9041.00,Architectural and Engineering Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,84.18,20,10.7650,49.4960,96.6522,N,,08/2020,Incumbent
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.69,36,0.1113,2.4603,2.9122,N,,07/2014,Incumbent
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.87,36,0.9117,0.1016,7.0025,N,,07/2014,Incumbent
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,29.64,36,11.1641,12.4405,55.5332,N,,07/2014,Incumbent
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,69.49,36,11.1099,44.0142,86.8435,N,,07/2014,Incumbent
11-9051.00,Food Service Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.07,34,0.2738,1.5136,2.6278,N,,08/2025,Incumbent
11-9051.00,Food Service Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,34.08,34,15.2940,11.4576,67.3772,N,,08/2025,Incumbent
11-9051.00,Food Service Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,24.77,34,13.4806,7.0257,58.9257,N,,08/2025,Incumbent
11-9051.00,Food Service Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,41.15,34,15.2273,16.2873,71.5359,N,,08/2025,Incumbent
11-9071.00,Gambling Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.42,28,0.1275,2.1621,2.6852,N,,08/2023,Incumbent
11-9071.00,Gambling Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,4.37,28,4.1756,0.5862,26.1857,N,,08/2023,Incumbent
11-9071.00,Gambling Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,48.89,28,13.3533,24.2141,74.1159,N,,08/2023,Incumbent
11-9071.00,Gambling Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,46.74,28,12.3674,24.0485,70.8626,N,,08/2023,Incumbent
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.20,18,0.1684,1.8490,2.5594,N,,08/2025,Incumbent
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,5.28,18,5.5231,0.5398,36.4186,N,,08/2025,Incumbent
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,69.02,18,17.5150,28.3498,92.6162,N,,08/2025,Incumbent
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,25.70,18,16.2670,5.4220,67.6060,N,,08/2025,Incumbent
11-9081.00,Lodging Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.59,15,0.1706,2.2289,2.9607,N,,07/2017,Incumbent
11-9081.00,Lodging Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,15,0.0000,,,N,,07/2017,Incumbent
11-9081.00,Lodging Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,40.52,15,17.0611,12.9859,75.6648,N,,07/2017,Incumbent
11-9081.00,Lodging Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,59.48,15,17.0611,24.3352,87.0141,N,,07/2017,Incumbent
11-9111.00,Medical and Health Services Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.46,28,,,,,,08/2022,Occupational Expert
11-9111.00,Medical and Health Services Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,3.57,28,,,,,,08/2022,Occupational Expert
11-9111.00,Medical and Health Services Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,46.43,28,,,,,,08/2022,Occupational Expert
11-9111.00,Medical and Health Services Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,50.00,28,,,,,,08/2022,Occupational Expert
11-9121.00,Natural Sciences Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.56,23,0.1419,2.2696,2.8582,N,,08/2021,Incumbent
11-9121.00,Natural Sciences Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,23,0.0000,,,N,,08/2021,Incumbent
11-9121.00,Natural Sciences Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,43.61,23,14.1896,18.9453,71.9037,N,,08/2021,Incumbent
11-9121.00,Natural Sciences Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,56.39,23,14.1896,28.0963,81.0547,N,,08/2021,Incumbent
11-9121.01,Clinical Research Coordinators,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.29,19,0.1832,1.9013,2.6711,N,,08/2021,Incumbent
11-9121.01,Clinical Research Coordinators,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,12.71,19,7.9512,3.1295,39.6237,N,,08/2021,Incumbent
11-9121.01,Clinical Research Coordinators,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,45.96,19,10.8251,25.3959,67.9998,N,,08/2021,Incumbent
11-9121.01,Clinical Research Coordinators,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,41.33,19,12.7758,18.8879,68.0604,N,,08/2021,Incumbent
11-9121.02,Water Resource Specialists,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.41,22,,,,,,08/2020,Occupational Expert
11-9121.02,Water Resource Specialists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,22,,,,,,08/2020,Occupational Expert
11-9121.02,Water Resource Specialists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,59.09,22,,,,,,08/2020,Occupational Expert
11-9121.02,Water Resource Specialists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,40.91,22,,,,,,08/2020,Occupational Expert
11-9131.00,Postmasters and Mail Superintendents,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.67,27,0.1207,2.4184,2.9148,N,,07/2016,Incumbent
11-9131.00,Postmasters and Mail Superintendents,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,27,0.0000,,,N,,07/2016,Incumbent
